역명_정제,역사명,위도,경도,승차총승객수,하차총승객수,승하차총객수
남영,남영,37.541021,126.9713,283783,301611,585394
녹사평,녹사평(용산구청),37.534675,126.986695,183108,195915,379023
삼각지,삼각지,37.535534,126.974032,461812,478626,940438
서빙고,서빙고,37.519594,126.988537,77229,72887,150116
서울역,서울역,37.553247,126.969769,3715014,3693464,7408478
숙대입구,숙대입구(갈월),37.54456,126.972106,493897,487541,981438
신용산,신용산,37.52917,126.967894,683215,740585,1423800
용산,용산,37.529849,126.964561,1594823,1606889,3201712
이촌,이촌(국립중앙박물관),37.522427,126.973406,528367,526512,1054879
이태원,이태원,37.534488,126.994302,407889,459767,867656
한강진,한강진,37.539631,127.001725,319159,392762,711921
한남,한남,37.52943,127.009169,103996,103899,207895
효창공원앞,효창공원앞,37.539233,126.961384,336885,328163,665048
